Nama_Bahan,Satuan,Harga_Rata_Rata,Bulan,Tahun
Cabe Rawit / kg,kg,25854,Desember,2018
Bawang Merah,kg,23316,Desember,2018
Bawang Putih,kg,17284,Desember,2018
Ikan Asin Teri / kg,kg,64477,Desember,2018
Kacang Hijau / kg,kg,17652,Desember,2018
Kacang Tanah / kg,kg,22163,Desember,2018
Ketela Pohon / kg,kg,3819,Desember,2018
Kol/kubis (/kg),kg,7937,Desember,2018
Kentang / kg,kg,11943,Desember,2018
Tomat / kg,kg,5855,Desember,2018
Wortel / kg,kg,13067,Desember,2018
Buncis,kg,11094,Desember,2018
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11640,April,2020
Ikan Kembung / kg,kg,28507,Desember,2018
ikan Tuna / kg,kg,34543,Desember,2018
Ikan Tongkol / kg,kg,27355,Desember,2018
Ikan Cakalang / kg,kg,28826,Desember,2018
Beras Bengawan,kg,11380,Januari,2019
Beras Mentik,kg,11018,Januari,2019
Beras IR 64,kg,9769,Januari,2019
Gula Pasir Dalam Negri / kg,kg,10242,Januari,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11798,Januari,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25961,Januari,2019
Minyak Goreng Curah / kg (liter),kg,10311,Januari,2019
Daging Sapi Murni / kg,kg,107779,Januari,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11703,Mei,2020
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11982,Januari,2021
Telur Ayam Ras (Petelur) / kg,kg,22958,Januari,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,12171,Februari,2021
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9945,Januari,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9736,Januari,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38556,Januari,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36508,Januari,2019
Jagung Pipilan Kering / kg,kg,6475,Januari,2019
Garam Beryodium Bata / buah,Buah,1082,Januari,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,12202,Maret,2021
Tepung Terigu / kg,kg,7964,Januari,2019
Kacang Kedelai Eks Impor / kg,kg,8497,Januari,2019
Kacang Kedelai Lokal,kg,8802,Januari,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2319,Januari,2019
Cabe Merah Besar Keriting / kg,kg,23035,Januari,2019
Cabe Merah Besar,kg,23060,Januari,2019
Cabe Rawit / kg,kg,25439,Januari,2019
Bawang Merah,kg,24610,Januari,2019
Bawang Putih,kg,17365,Januari,2019
Ikan Asin Teri / kg,kg,64310,Januari,2019
Kacang Hijau / kg,kg,17662,Januari,2019
Kacang Tanah / kg,kg,22160,Januari,2019
Ketela Pohon / kg,kg,3912,Januari,2019
Kol/kubis (/kg),kg,7111,Januari,2019
Kentang / kg,kg,12155,Januari,2019
Tomat / kg,kg,8248,Januari,2019
Wortel / kg,kg,13064,Januari,2019
Buncis,kg,7910,Januari,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,12296,April,2021
Ikan Kembung / kg,kg,28664,Januari,2019
ikan Tuna / kg,kg,34674,Januari,2019
Ikan Tongkol / kg,kg,27724,Januari,2019
Ikan Cakalang / kg,kg,28983,Januari,2019
Beras Bengawan,kg,11384,Februari,2019
Beras Mentik,kg,11036,Februari,2019
Beras IR 64,kg,9775,Februari,2019
Gula Pasir Dalam Negri / kg,kg,10305,Februari,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11897,Februari,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25862,Februari,2019
Minyak Goreng Curah / kg (liter),kg,10332,Februari,2019
Daging Sapi Murni / kg,kg,107872,Februari,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,12280,Mei,2021
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,12192,Juni,2021
Telur Ayam Ras (Petelur) / kg,kg,21245,Februari,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,12168,Juli,2021
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9951,Februari,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9729,Februari,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38485,Februari,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36864,Februari,2019
Jagung Pipilan Kering / kg,kg,7049,Februari,2019
Garam Beryodium Bata / buah,Buah,1088,Februari,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,12191,Agustus,2021
Tepung Terigu / kg,kg,7972,Februari,2019
Kacang Kedelai Eks Impor / kg,kg,8522,Februari,2019
Kacang Kedelai Lokal,kg,8714,Februari,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2423,Februari,2019
Cabe Merah Besar Keriting / kg,kg,16851,Februari,2019
Cabe Merah Besar,kg,15839,Februari,2019
Cabe Rawit / kg,kg,14901,Februari,2019
Bawang Merah,kg,19451,Februari,2019
Bawang Putih,kg,18684,Februari,2019
Ikan Asin Teri / kg,kg,64623,Februari,2019
Kacang Hijau / kg,kg,17445,Februari,2019
Kacang Tanah / kg,kg,22104,Februari,2019
Ketela Pohon / kg,kg,4025,Februari,2019
Kol/kubis (/kg),kg,5694,Februari,2019
Kentang / kg,kg,11686,Februari,2019
Tomat / kg,kg,7821,Februari,2019
Wortel / kg,kg,11206,Februari,2019
Buncis,kg,8160,Februari,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,12371,September,2021
Ikan Kembung / kg,kg,28623,Februari,2019
ikan Tuna / kg,kg,34567,Februari,2019
Ikan Tongkol / kg,kg,27710,Februari,2019
Ikan Cakalang / kg,kg,29280,Februari,2019
Beras Bengawan,kg,11362,Maret,2019
Beras Mentik,kg,11013,Maret,2019
Beras IR 64,kg,9737,Maret,2019
Gula Pasir Dalam Negri / kg,kg,10677,Maret,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11785,Maret,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25708,Maret,2019
Minyak Goreng Curah / kg (liter),kg,10355,Maret,2019
Daging Sapi Murni / kg,kg,107533,Maret,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,12506,Oktober,2021
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,14047,November,2021
Telur Ayam Ras (Petelur) / kg,kg,20891,Maret,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,14829,Desember,2021
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9954,Maret,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9730,Maret,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38837,Maret,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,37014,Maret,2019
Jagung Pipilan Kering / kg,kg,6755,Maret,2019
Garam Beryodium Bata / buah,Buah,1073,Maret,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,15975,Januari,2022
Tepung Terigu / kg,kg,8010,Maret,2019
Kacang Kedelai Eks Impor / kg,kg,8517,Maret,2019
Kacang Kedelai Lokal,kg,8722,Maret,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2342,Maret,2019
Cabe Merah Besar Keriting / kg,kg,17264,Maret,2019
Cabe Merah Besar,kg,16557,Maret,2019
Cabe Rawit / kg,kg,18277,Maret,2019
Bawang Merah,kg,26315,Maret,2019
Bawang Putih,kg,25116,Maret,2019
Ikan Asin Teri / kg,kg,65287,Maret,2019
Kacang Hijau / kg,kg,17523,Maret,2019
Kacang Tanah / kg,kg,22049,Maret,2019
Ketela Pohon / kg,kg,4123,Maret,2019
Kol/kubis (/kg),kg,5294,Maret,2019
Kentang / kg,kg,10756,Maret,2019
Tomat / kg,kg,8462,Maret,2019
Wortel / kg,kg,9758,Maret,2019
Buncis,kg,10034,Maret,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,15114,Februari,2022
Ikan Kembung / kg,kg,28333,Maret,2019
ikan Tuna / kg,kg,34516,Maret,2019
Ikan Tongkol / kg,kg,27687,Maret,2019
Ikan Cakalang / kg,kg,29082,Maret,2019
Beras Bengawan,kg,11244,April,2019
Beras Mentik,kg,10944,April,2019
Beras IR 64,kg,9585,April,2019
Gula Pasir Dalam Negri / kg,kg,10863,April,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11665,April,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25585,April,2019
Minyak Goreng Curah / kg (liter),kg,10322,April,2019
Daging Sapi Murni / kg,kg,107646,April,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,15542,Maret,2022
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,17368,April,2022
Telur Ayam Ras (Petelur) / kg,kg,22018,April,2019
Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,17240,Mei,2022
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9965,April,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9751,April,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38777,April,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,37033,April,2019
Jagung Pipilan Kering / kg,kg,6641,April,2019
Garam Beryodium Bata / buah,Buah,1080,April,2019
Daging Ayam Kampung,kg,57073,Januari,2018
Tepung Terigu / kg,kg,8033,April,2019
Kacang Kedelai Eks Impor / kg,kg,8532,April,2019
Kacang Kedelai Lokal,kg,8689,April,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2351,April,2019
Cabe Merah Besar Keriting / kg,kg,21407,April,2019
Cabe Merah Besar,kg,28697,April,2019
Cabe Rawit / kg,kg,17681,April,2019
Bawang Merah,kg,34562,April,2019
Bawang Putih,kg,38938,April,2019
Ikan Asin Teri / kg,kg,65568,April,2019
Kacang Hijau / kg,kg,17628,April,2019
Kacang Tanah / kg,kg,22037,April,2019
Ketela Pohon / kg,kg,4242,April,2019
Kol/kubis (/kg),kg,5680,April,2019
Kentang / kg,kg,10038,April,2019
Tomat / kg,kg,13378,April,2019
Wortel / kg,kg,9439,April,2019
Buncis,kg,9764,April,2019
Daging Ayam Kampung,kg,55948,Februari,2018
Ikan Kembung / kg,kg,28137,April,2019
ikan Tuna / kg,kg,34639,April,2019
Ikan Tongkol / kg,kg,27590,April,2019
Ikan Cakalang / kg,kg,28645,April,2019
Beras Bengawan,kg,11204,Mei,2019
Beras Mentik,kg,10886,Mei,2019
Beras IR 64,kg,9486,Mei,2019
Gula Pasir Dalam Negri / kg,kg,11821,Mei,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11609,Mei,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25505,Mei,2019
Minyak Goreng Curah / kg (liter),kg,10313,Mei,2019
Daging Sapi Murni / kg,kg,108434,Mei,2019
Daging Ayam Kampung,kg,55886,Maret,2018
Daging Ayam Kampung,kg,56555,April,2018
Telur Ayam Ras (Petelur) / kg,kg,22259,Mei,2019
Daging Ayam Kampung,kg,58447,Mei,2018
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9997,Mei,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9779,Mei,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38805,Mei,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,37126,Mei,2019
Jagung Pipilan Kering / kg,kg,6608,Mei,2019
Garam Beryodium Bata / buah,Buah,1086,Mei,2019
Daging Ayam Kampung,kg,61550,Juni,2018
Tepung Terigu / kg,kg,8064,Mei,2019
Kacang Kedelai Eks Impor / kg,kg,8556,Mei,2019
Kacang Kedelai Lokal,kg,8801,Mei,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2357,Mei,2019
Cabe Merah Besar Keriting / kg,kg,24406,Mei,2019
Cabe Merah Besar,kg,31518,Mei,2019
Cabe Rawit / kg,kg,17007,Mei,2019
Bawang Merah,kg,25820,Mei,2019
Bawang Putih,kg,37224,Mei,2019
Ikan Asin Teri / kg,kg,65689,Mei,2019
Kacang Hijau / kg,kg,17653,Mei,2019
Kacang Tanah / kg,kg,22284,Mei,2019
Ketela Pohon / kg,kg,4250,Mei,2019
Kol/kubis (/kg),kg,6415,Mei,2019
Kentang / kg,kg,11306,Mei,2019
Tomat / kg,kg,9895,Mei,2019
Wortel / kg,kg,10406,Mei,2019
Buncis,kg,8976,Mei,2019
Daging Ayam Kampung,kg,60953,Juli,2018
Ikan Kembung / kg,kg,28475,Mei,2019
ikan Tuna / kg,kg,34947,Mei,2019
Ikan Tongkol / kg,kg,27834,Mei,2019
Ikan Cakalang / kg,kg,28714,Mei,2019
Beras Bengawan,kg,11187,Juni,2019
Beras Mentik,kg,10886,Juni,2019
Beras IR 64,kg,9429,Juni,2019
Gula Pasir Dalam Negri / kg,kg,11964,Juni,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11564,Juni,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25455,Juni,2019
Minyak Goreng Curah / kg (liter),kg,10269,Juni,2019
Daging Sapi Murni / kg,kg,110854,Juni,2019
Daging Ayam Kampung,kg,60930,Agustus,2018
Daging Ayam Kampung,kg,60358,September,2018
Telur Ayam Ras (Petelur) / kg,kg,21448,Juni,2019
Daging Ayam Kampung,kg,59647,Oktober,2018
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9991,Juni,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9791,Juni,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38826,Juni,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,37245,Juni,2019
Jagung Pipilan Kering / kg,kg,6550,Juni,2019
Garam Beryodium Bata / buah,Buah,1091,Juni,2019
Daging Ayam Kampung,kg,59870,November,2018
Tepung Terigu / kg,kg,8008,Juni,2019
Kacang Kedelai Eks Impor / kg,kg,8564,Juni,2019
Kacang Kedelai Lokal,kg,8745,Juni,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2360,Juni,2019
Cabe Merah Besar Keriting / kg,kg,37319,Juni,2019
Cabe Merah Besar,kg,42033,Juni,2019
Cabe Rawit / kg,kg,17291,Juni,2019
Bawang Merah,kg,26939,Juni,2019
Bawang Putih,kg,31462,Juni,2019
Ikan Asin Teri / kg,kg,65722,Juni,2019
Kacang Hijau / kg,kg,17632,Juni,2019
Kacang Tanah / kg,kg,22422,Juni,2019
Ketela Pohon / kg,kg,4260,Juni,2019
Kol/kubis (/kg),kg,7486,Juni,2019
Kentang / kg,kg,11848,Juni,2019
Tomat / kg,kg,10268,Juni,2019
Wortel / kg,kg,11529,Juni,2019
Buncis,kg,9522,Juni,2019
Daging Ayam Kampung,kg,60385,Desember,2018
Ikan Kembung / kg,kg,28521,Juni,2019
ikan Tuna / kg,kg,34992,Juni,2019
Ikan Tongkol / kg,kg,27906,Juni,2019
Ikan Cakalang / kg,kg,28707,Juni,2019
Beras Bengawan,kg,11145,Juli,2019
Beras Mentik,kg,10909,Juli,2019
Beras IR 64,kg,9402,Juli,2019
Gula Pasir Dalam Negri / kg,kg,11827,Juli,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11551,Juli,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25459,Juli,2019
Minyak Goreng Curah / kg (liter),kg,10184,Juli,2019
Daging Sapi Murni / kg,kg,108957,Juli,2019
Daging Ayam Kampung,kg,60378,Januari,2019
Daging Ayam Kampung,kg,59701,Februari,2019
Telur Ayam Ras (Petelur) / kg,kg,21588,Juli,2019
Daging Ayam Kampung,kg,58553,Maret,2019
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9997,Juli,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9782,Juli,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38816,Juli,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,37252,Juli,2019
Jagung Pipilan Kering / kg,kg,6547,Juli,2019
Garam Beryodium Bata / buah,Buah,1108,Juli,2019
Daging Ayam Kampung,kg,58634,April,2019
Tepung Terigu / kg,kg,8020,Juli,2019
Kacang Kedelai Eks Impor / kg,kg,8571,Juli,2019
Kacang Kedelai Lokal,kg,8770,Juli,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2361,Juli,2019
Cabe Merah Besar Keriting / kg,kg,53084,Juli,2019
Cabe Merah Besar,kg,53880,Juli,2019
Cabe Rawit / kg,kg,58095,Juli,2019
Bawang Merah,kg,24523,Juli,2019
Bawang Putih,kg,28096,Juli,2019
Ikan Asin Teri / kg,kg,65346,Juli,2019
Kacang Hijau / kg,kg,17518,Juli,2019
Kacang Tanah / kg,kg,22448,Juli,2019
Ketela Pohon / kg,kg,4405,Juli,2019
Kol/kubis (/kg),kg,7217,Juli,2019
Kentang / kg,kg,12181,Juli,2019
Tomat / kg,kg,7279,Juli,2019
Wortel / kg,kg,10862,Juli,2019
Buncis,kg,10140,Juli,2019
Daging Ayam Kampung,kg,60045,Mei,2019
Ikan Kembung / kg,kg,28062,Juli,2019
ikan Tuna / kg,kg,34737,Juli,2019
Ikan Tongkol / kg,kg,27987,Juli,2019
Ikan Cakalang / kg,kg,28636,Juli,2019
Beras Bengawan,kg,11122,Agustus,2019
Beras Mentik,kg,10853,Agustus,2019
Beras IR 64,kg,9395,Agustus,2019
Gula Pasir Dalam Negri / kg,kg,11691,Agustus,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11603,Agustus,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25287,Agustus,2019
Minyak Goreng Curah / kg (liter),kg,10128,Agustus,2019
Daging Sapi Murni / kg,kg,108917,Agustus,2019
Daging Ayam Kampung,kg,62019,Juni,2019
Daging Ayam Kampung,kg,61289,Juli,2019
Telur Ayam Ras (Petelur) / kg,kg,21747,Agustus,2019
Daging Ayam Kampung,kg,61311,Agustus,2019
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,10016,Agustus,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9792,Agustus,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38815,Agustus,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,37343,Agustus,2019
Jagung Pipilan Kering / kg,kg,6528,Agustus,2019
Garam Beryodium Bata / buah,Buah,1101,Agustus,2019
Daging Ayam Kampung,kg,60477,September,2019
Tepung Terigu / kg,kg,8064,Agustus,2019
Kacang Kedelai Eks Impor / kg,kg,8535,Agustus,2019
Kacang Kedelai Lokal,kg,8733,Agustus,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2365,Agustus,2019
Cabe Merah Besar Keriting / kg,kg,55790,Agustus,2019
Cabe Merah Besar,kg,46240,Agustus,2019
Cabe Rawit / kg,kg,73647,Agustus,2019
Bawang Merah,kg,19477,Agustus,2019
Bawang Putih,kg,26370,Agustus,2019
Ikan Asin Teri / kg,kg,65177,Agustus,2019
Kacang Hijau / kg,kg,17530,Agustus,2019
Kacang Tanah / kg,kg,22728,Agustus,2019
Ketela Pohon / kg,kg,4286,Agustus,2019
Kol/kubis (/kg),kg,6490,Agustus,2019
Kentang / kg,kg,12679,Agustus,2019
Tomat / kg,kg,4738,Agustus,2019
Wortel / kg,kg,10538,Agustus,2019
Buncis,kg,10659,Agustus,2019
Daging Ayam Kampung,kg,60024,Oktober,2019
Ikan Kembung / kg,kg,28119,Agustus,2019
ikan Tuna / kg,kg,34729,Agustus,2019
Ikan Tongkol / kg,kg,27902,Agustus,2019
Ikan Cakalang / kg,kg,28766,Agustus,2019
Beras Bengawan,kg,11145,September,2019
Beras Mentik,kg,10892,September,2019
Beras IR 64,kg,9423,September,2019
Gula Pasir Dalam Negri / kg,kg,11625,September,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11657,September,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25220,September,2019
Minyak Goreng Curah / kg (liter),kg,10221,September,2019
Daging Sapi Murni / kg,kg,108424,September,2019
Daging Ayam Kampung,kg,60115,November,2019
Daging Ayam Kampung,kg,60237,Desember,2019
Telur Ayam Ras (Petelur) / kg,kg,20797,September,2019
Daging Ayam Kampung,kg,60014,Januari,2020
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,10022,September,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9806,September,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38782,September,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,37354,September,2019
Jagung Pipilan Kering / kg,kg,6681,September,2019
Garam Beryodium Bata / buah,Buah,1120,September,2019
Daging Ayam Kampung,kg,60131,Februari,2020
Tepung Terigu / kg,kg,8061,September,2019
Kacang Kedelai Eks Impor / kg,kg,8527,September,2019
Kacang Kedelai Lokal,kg,8683,September,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2367,September,2019
Cabe Merah Besar Keriting / kg,kg,39610,September,2019
Cabe Merah Besar,kg,25024,September,2019
Cabe Rawit / kg,kg,50530,September,2019
Bawang Merah,kg,14900,September,2019
Bawang Putih,kg,25453,September,2019
Ikan Asin Teri / kg,kg,65145,September,2019
Kacang Hijau / kg,kg,17555,September,2019
Kacang Tanah / kg,kg,22918,September,2019
Ketela Pohon / kg,kg,4298,September,2019
Kol/kubis (/kg),kg,6064,September,2019
Kentang / kg,kg,12744,September,2019
Tomat / kg,kg,4465,September,2019
Wortel / kg,kg,10199,September,2019
Buncis,kg,8586,September,2019
Daging Ayam Kampung,kg,60119,Maret,2020
Ikan Kembung / kg,kg,28407,September,2019
ikan Tuna / kg,kg,35103,September,2019
Ikan Tongkol / kg,kg,27878,September,2019
Ikan Cakalang / kg,kg,28758,September,2019
Beras Bengawan,kg,11198,Oktober,2019
Beras Mentik,kg,10896,Oktober,2019
Beras IR 64,kg,9475,Oktober,2019
Gula Pasir Dalam Negri / kg,kg,11694,Oktober,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11578,Oktober,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25182,Oktober,2019
Minyak Goreng Curah / kg (liter),kg,10160,Oktober,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 1 Liter,1 liter,4577,Oktober,2019
Daging Sapi Murni / kg,kg,108254,Oktober,2019
Daging Ayam Kampung,kg,59343,April,2020
Daging Ayam Kampung,kg,61238,Mei,2020
Telur Ayam Ras (Petelur) / kg,kg,19596,Oktober,2019
Daging Ayam Kampung,kg,61278,Juni,2020
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,10037,Oktober,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9814,Oktober,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38685,Oktober,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,37221,Oktober,2019
Jagung Pipilan Kering / kg,kg,6596,Oktober,2019
Garam Beryodium Bata / buah,Buah,1144,Oktober,2019
Daging Ayam Kampung,kg,61140,Juli,2020
Tepung Terigu / kg,kg,8039,Oktober,2019
Kacang Kedelai Eks Impor / kg,kg,8513,Oktober,2019
Kacang Kedelai Lokal,kg,8673,Oktober,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2374,Oktober,2019
Cabe Merah Besar Keriting / kg,kg,32400,Oktober,2019
Cabe Merah Besar,kg,28756,Oktober,2019
Cabe Rawit / kg,kg,38616,Oktober,2019
Bawang Merah,kg,17473,Oktober,2019
Bawang Putih,kg,24801,Oktober,2019
Ikan Asin Teri / kg,kg,64784,Oktober,2019
Kacang Hijau / kg,kg,17609,Oktober,2019
Kacang Tanah / kg,kg,23382,Oktober,2019
Ketela Pohon / kg,kg,4273,Oktober,2019
Kol/kubis (/kg),kg,6015,Oktober,2019
Kentang / kg,kg,12381,Oktober,2019
Tomat / kg,kg,4326,Oktober,2019
Wortel / kg,kg,9627,Oktober,2019
Buncis,kg,9933,Oktober,2019
Daging Ayam Kampung,kg,60690,Agustus,2020
Ikan Kembung / kg,kg,28480,Oktober,2019
ikan Tuna / kg,kg,34850,Oktober,2019
Ikan Tongkol / kg,kg,27840,Oktober,2019
Ikan Cakalang / kg,kg,28688,Oktober,2019
Beras Bengawan,kg,11177,November,2019
Beras Mentik,kg,10901,November,2019
Beras IR 64,kg,9537,November,2019
Gula Pasir Dalam Negri / kg,kg,11862,November,2019
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11244,November,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,25119,November,2019
Minyak Goreng Curah / kg (liter),kg,10349,November,2019
Minyak Goreng Bimoli Botol/Kemasan (sps) 1 Liter,1 liter,12622,November,2019
Daging Sapi Murni / kg,kg,108185,November,2019
Daging Ayam Kampung,kg,60075,September,2020
Daging Ayam Kampung,kg,60056,Oktober,2020
Telur Ayam Ras (Petelur) / kg,kg,20860,November,2019
Daging Ayam Kampung,kg,60059,November,2020
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,10020,November,2019
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9812,November,2019
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38546,November,2019
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36987,November,2019
Jagung Pipilan Kering / kg,kg,6511,November,2019
Garam Beryodium Bata / buah,Buah,1184,November,2019
Daging Ayam Kampung,kg,60528,Desember,2020
Tepung Terigu / kg,kg,8123,November,2019
Kacang Kedelai Eks Impor / kg,kg,8482,November,2019
Kacang Kedelai Lokal,kg,8655,November,2019
Indomie Rasa Kari Ayam / bungkus,Bungkus,2373,November,2019
Cabe Merah Besar Keriting / kg,kg,25903,November,2019
Cabe Merah Besar,kg,21855,November,2019
Cabe Rawit / kg,kg,30764,November,2019
Bawang Merah,kg,23093,November,2019
Bawang Putih,kg,24983,November,2019
Ikan Asin Teri / kg,kg,64553,November,2019
Kacang Hijau / kg,kg,17663,November,2019
Kacang Tanah / kg,kg,23779,November,2019
Ketela Pohon / kg,kg,4278,November,2019
Kol/kubis (/kg),kg,6085,November,2019
Kentang / kg,kg,12253,November,2019
Tomat / kg,kg,7100,November,2019
Wortel / kg,kg,9326,November,2019
Buncis,kg,12545,November,2019
Daging Ayam Kampung,kg,60910,Januari,2021
Ikan Kembung / kg,kg,28523,November,2019
ikan Tuna / kg,kg,34726,November,2019
Ikan Tongkol / kg,kg,27636,November,2019
Ikan Cakalang / kg,kg,28612,November,2019
Beras Bengawan,kg,11246,Desember,2019
Beras Mentik,kg,10970,Desember,2019
Beras IR 64,kg,9572,Desember,2019
Gula Pasir Dalam Negri / kg,kg,12014,Desember,2019
