Nama_Bahan,Satuan,Harga_Rata_Rata,Bulan,Tahun
Ikan Asin Teri / kg,kg,63922,Maret,2018
Kacang Hijau / kg,kg,18224,Maret,2018
Kacang Tanah / kg,kg,22935,Maret,2018
Ketela Pohon / kg,kg,3471,Maret,2018
Kol/kubis (/kg),kg,6404,Maret,2018
Kentang / kg,kg,12707,Maret,2018
Tomat / kg,kg,7454,Maret,2018
Wortel / kg,kg,9014,Maret,2018
Buncis,kg,9832,Maret,2018
Daging Ayam Broiler,kg,30638,Maret,2019
Ikan Kembung / kg,kg,27868,Maret,2018
ikan Tuna / kg,kg,34082,Maret,2018
Ikan Tongkol / kg,kg,26832,Maret,2018
Ikan Cakalang / kg,kg,28066,Maret,2018
Beras Bengawan,kg,11589,April,2018
Beras Mentik,kg,11250,April,2018
Beras IR 64,kg,9796,April,2018
Gula Pasir Dalam Negri / kg,kg,11348,April,2018
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11523,April,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26547,April,2018
Minyak Goreng Curah / kg (liter),kg,11171,April,2018
Daging Sapi Murni / kg,kg,106501,April,2018
Daging Ayam Broiler,kg,30474,April,2019
Daging Ayam Broiler,kg,32692,Mei,2019
Telur Ayam Ras (Petelur) / kg,kg,20971,April,2018
Daging Ayam Broiler,kg,30731,Juni,2019
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9911,April,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9665,April,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38212,April,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36042,April,2018
Jagung Pipilan Kering / kg,kg,5955,April,2018
Garam Beryodium Bata / buah,Buah,1184,April,2018
Daging Ayam Broiler,kg,32255,Juli,2019
Tepung Terigu / kg,kg,7868,April,2018
Kacang Kedelai Eks Impor / kg,kg,8168,April,2018
Kacang Kedelai Lokal,kg,8452,April,2018
Indomie Rasa Kari Ayam / bungkus,Bungkus,2283,April,2018
Cabe Merah Besar Keriting / kg,kg,35995,April,2018
Cabe Merah Besar,kg,40400,April,2018
Cabe Rawit / kg,kg,31216,April,2018
Bawang Merah,kg,29509,April,2018
Bawang Putih,kg,27004,April,2018
Ikan Asin Teri / kg,kg,63758,April,2018
Kacang Hijau / kg,kg,18245,April,2018
Kacang Tanah / kg,kg,22924,April,2018
Ketela Pohon / kg,kg,3501,April,2018
Kol/kubis (/kg),kg,6924,April,2018
Kentang / kg,kg,12009,April,2018
Tomat / kg,kg,7963,April,2018
Wortel / kg,kg,8458,April,2018
Buncis,kg,8176,April,2018
Daging Ayam Broiler,kg,31737,Agustus,2019
Ikan Kembung / kg,kg,27515,April,2018
ikan Tuna / kg,kg,34252,April,2018
Ikan Tongkol / kg,kg,26995,April,2018
Ikan Cakalang / kg,kg,27944,April,2018
Beras Bengawan,kg,11423,Mei,2018
Beras Mentik,kg,11169,Mei,2018
Beras IR 64,kg,9583,Mei,2018
Gula Pasir Dalam Negri / kg,kg,11343,Mei,2018
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11663,Mei,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26566,Mei,2018
Minyak Goreng Curah / kg (liter),kg,11205,Mei,2018
Daging Sapi Murni / kg,kg,107085,Mei,2018
Daging Ayam Broiler,kg,29186,September,2019
Daging Ayam Broiler,kg,31582,Oktober,2019
Telur Ayam Ras (Petelur) / kg,kg,23075,Mei,2018
Daging Ayam Broiler,kg,33373,November,2019
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9985,Mei,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9658,Mei,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38650,Mei,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36503,Mei,2018
Jagung Pipilan Kering / kg,kg,5936,Mei,2018
Garam Beryodium Bata / buah,Buah,1187,Mei,2018
Daging Ayam Broiler,kg,31992,Desember,2019
Tepung Terigu / kg,kg,7868,Mei,2018
Kacang Kedelai Eks Impor / kg,kg,8260,Mei,2018
Kacang Kedelai Lokal,kg,8560,Mei,2018
Indomie Rasa Kari Ayam / bungkus,Bungkus,2291,Mei,2018
Cabe Merah Besar Keriting / kg,kg,28796,Mei,2018
Cabe Merah Besar,kg,29023,Mei,2018
Cabe Rawit / kg,kg,23143,Mei,2018
Bawang Merah,kg,28438,Mei,2018
Bawang Putih,kg,20202,Mei,2018
Ikan Asin Teri / kg,kg,64032,Mei,2018
Kacang Hijau / kg,kg,18243,Mei,2018
Kacang Tanah / kg,kg,22806,Mei,2018
Ketela Pohon / kg,kg,3515,Mei,2018
Kol/kubis (/kg),kg,6718,Mei,2018
Kentang / kg,kg,11780,Mei,2018
Tomat / kg,kg,7345,Mei,2018
Wortel / kg,kg,8321,Mei,2018
Buncis,kg,8153,Mei,2018
Daging Ayam Broiler,kg,30346,Januari,2020
Ikan Kembung / kg,kg,27410,Mei,2018
ikan Tuna / kg,kg,34212,Mei,2018
Ikan Tongkol / kg,kg,27154,Mei,2018
Ikan Cakalang / kg,kg,28168,Mei,2018
Beras Bengawan,kg,11375,Juni,2018
Beras Mentik,kg,11109,Juni,2018
Beras IR 64,kg,9491,Juni,2018
Gula Pasir Dalam Negri / kg,kg,11226,Juni,2018
Minyak Goreng Bimoli Botol / Kemasan (Sps) 620 ml,620 ml,11637,Juni,2018
Minyak Goreng Bimoli Botol/Kemasan (sps) 2 Liter,2 Liter,26499,Juni,2018
Minyak Goreng Curah / kg (liter),kg,11204,Juni,2018
Daging Sapi Murni / kg,kg,110128,Juni,2018
Daging Ayam Broiler,kg,31932,Februari,2020
Daging Ayam Broiler,kg,31587,Maret,2020
Telur Ayam Ras (Petelur) / kg,kg,21306,Juni,2018
Daging Ayam Broiler,kg,27512,April,2020
Susu Kental Manis Merk Bendera (397 gr/kl),397 gr/kl,9948,Juni,2018
Susu Kental Manis Merk Indomilk (390 gr/kl),390 gr/kl,9660,Juni,2018
Susu Bubuk Merk Bendera (Instant) / (400 gr/dos),400 gr/dos,38297,Juni,2018
Susu Bubuk Merk Indomilk (Instant) / (400 gr/dos),400 gr/dos,36108,Juni,2018
Jagung Pipilan Kering / kg,kg,5915,Juni,2018
Garam Beryodium Bata / buah,Buah,1142,Juni,2018
Daging Ayam Broiler,kg,32818,Mei,2020
Tepung Terigu / kg,kg,7877,Juni,2018
Kacang Kedelai Eks Impor / kg,kg,8364,Juni,2018
Kacang Kedelai Lokal,kg,8600,Juni,2018
